UserID,UserFirstTransaction,Gender,Location,Age,isChurn,TotalPrice,TotalSales,TotalDiscount,UserLastTransaction,UserActiveDays,TotalWeb,TotalMobile,TotalCashPayment,TotalMobilPayment,TotalOnlinePayment,UserLastTransactionDays,Computers & Laptops,Electronic Accessories,Female Fashion,Female Shoes,Hobbies,Indoor Sports,Kitchen Electronics,Male Fashion,Male Shoes,Outdoor Sports,Smart Phones,Smart Watches,Sound Systems,Sport Shoes,TVs and TV Sets
500234730,2017-01-24 00:00:00.000,MALE,ISTANBUL,33,1,28.575,2,1,2017-01-29 18:49:51.470,5,0,2,2,0,0,2277,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
500234752,2013-10-24 00:00:00.000,MALE,ISTANBUL,34,0,310.04999999999995,4,0,2017-06-25 18:57:54.810,1340,2,2,1,0,3,2130,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
500234829,2009-09-01 00:00:00.000,MALE,ESKISEHIR,42,0,44.85,1,0,2017-02-12 15:23:21.330,2721,1,0,0,0,1,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
500234840,2017-05-31 19:20:26.970,FEMALE,IZMIR,39,1,69.0,2,0,2017-05-31 19:22:57.230,0,2,0,0,0,2,2155,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
500235181,2010-03-25 00:00:00.000,FEMALE,ANKARA,40,0,845.1,21,0,2017-06-30 15:19:51.310,2654,21,0,12,1,8,2125,0,1,11,0,0,0,1,1,0,0,0,0,3,0,4
500235214,2015-11-28 00:00:00.000,MALE,ESKISEHIR,48,1,574.47,10,0,2017-02-17 13:38:07.120,447,10,0,9,1,0,2258,0,0,1,3,0,0,0,0,0,0,0,0,0,4,2
500235236,2017-03-20 21:21:15.620,MALE,ISTANBUL,22,1,264.0,3,0,2017-04-09 20:17:53.950,19,0,3,3,0,0,2207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
500235247,2017-03-31 18:31:58.070,MALE,ANTALYA,38,0,412.47,4,0,2017-06-04 19:56:30.240,65,0,4,1,2,1,2151,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
500235379,2015-04-19 00:00:00.000,FEMALE,ANTALYA,21,0,189.0,1,0,2017-02-11 15:53:13.520,664,0,1,0,1,0,2264,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500235533,2017-05-30 12:38:42.010,FEMALE,ISTANBUL,47,0,332.70000000000005,7,0,2017-06-10 19:26:11.960,11,7,0,5,0,2,2145,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0
500235764,2016-12-19 00:00:00.000,MALE,KAYSERI,44,0,271.8,4,0,2017-06-30 17:01:54.450,193,1,3,2,2,0,2125,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0
500235885,2016-03-24 00:00:00.000,FEMALE,ANTALYA,40,0,48.0,1,0,2017-06-17 13:13:23.900,450,0,1,0,0,1,2138,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
500236402,2017-01-17 00:00:00.000,FEMALE,ADANA,43,0,812.85,14,0,2017-06-25 01:37:52.170,159,0,14,5,0,9,2130,0,6,1,1,0,0,0,0,0,0,2,0,0,4,0
500236523,2014-08-17 00:00:00.000,MALE,ANTALYA,29,1,108.0,1,0,2017-03-21 17:38:18.910,947,0,1,0,0,1,2226,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
500236699,2016-08-14 00:00:00.000,FEMALE,ISTANBUL,36,0,3389.759999999999,38,0,2017-06-24 17:08:08.400,314,38,0,3,35,0,2131,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
500236831,2017-01-22 00:00:00.000,MALE,ANTALYA,23,1,28.5,1,0,2017-01-22 13:50:08.260,0,1,0,1,0,0,2284,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500236886,2013-01-01 00:00:00.000,FEMALE,ANTALYA,20,0,961.02,26,2,2017-06-28 16:57:24.940,1639,4,22,10,15,1,2127,2,8,3,4,0,0,1,0,2,0,2,0,0,3,1
500237051,2016-09-18 00:00:00.000,FEMALE,ISTANBUL,25,1,68.85,1,0,2017-06-27 13:47:39.200,282,0,1,0,1,0,2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
500237568,2016-06-07 00:00:00.000,FEMALE,ANKARA,20,1,340.5,5,0,2017-02-10 17:04:31.620,248,0,5,5,0,0,2265,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
500237623,2016-12-14 00:00:00.000,MALE,ADANA,50,0,172.5,3,0,2017-05-06 18:31:15.100,143,0,3,3,0,0,2180,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
500237898,2015-12-26 00:00:00.000,FEMALE,BURSA,22,0,2792.4300000000003,39,0,2017-06-30 13:39:28.290,552,0,39,22,0,17,2125,4,2,29,1,0,0,1,1,0,0,0,0,0,0,1
500238041,2010-09-06 00:00:00.000,MALE,ADANA,47,0,242.94,2,0,2017-06-10 21:00:53.690,2469,0,2,2,0,0,2145,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
500238151,2016-04-09 00:00:00.000,FEMALE,IZMIR,32,1,55.5,1,0,2017-02-24 00:52:18.970,321,1,0,1,0,0,2251,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500238217,2015-05-11 00:00:00.000,MALE,ADANA,46,1,67.5,2,0,2017-01-23 13:35:05.490,623,1,1,2,0,0,2283,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
500238305,2013-10-31 00:00:00.000,FEMALE,ADANA,42,0,4394.31,78,0,2017-06-30 12:07:32.450,1338,3,75,78,0,0,2125,0,0,19,1,0,0,2,0,11,0,4,0,1,21,19
500238360,2017-01-11 00:00:00.000,FEMALE,ISTANBUL,44,0,3303.33,51,8,2017-06-14 20:34:41.940,154,0,51,9,42,0,2141,0,1,3,11,0,0,2,0,7,0,9,0,0,16,2
500238459,2016-05-03 00:00:00.000,MALE,ISTANBUL,44,0,1771.05,24,4,2017-06-27 13:04:02.370,420,24,0,24,0,0,2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
500238536,2017-03-03 14:08:52.800,MALE,IZMIR,26,1,396.6,6,0,2017-05-01 12:41:52.760,58,0,6,4,2,0,2185,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1
500238778,2016-07-25 00:00:00.000,FEMALE,IZMIR,43,0,523.32,6,0,2017-06-30 21:07:17.010,340,0,6,1,2,3,2125,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
500238888,2017-06-20 19:00:54.520,FEMALE,ANTALYA,24,0,73.5,1,0,2017-06-20 19:00:54.520,0,1,0,1,0,0,2135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
500239174,2014-12-27 00:00:00.000,FEMALE,ANTALYA,22,1,502.5,3,0,2017-06-12 19:40:49.410,898,0,3,3,0,0,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
500239240,2014-08-10 00:00:00.000,MALE,IZMIR,34,0,2317.6499999999996,30,0,2017-05-17 20:41:38.980,1011,9,21,6,13,11,2169,0,0,15,0,0,0,5,0,1,0,0,0,0,6,3
500239284,2006-12-21 00:00:00.000,MALE,ISTANBUL,44,0,158.7,2,0,2017-01-29 04:27:54.640,3692,0,2,1,1,0,2277,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
500239999,2013-06-08 00:00:00.000,MALE,BURSA,24,0,277.05,5,0,2017-05-22 20:31:03.970,1444,0,5,3,2,0,2164,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2
500240164,2017-02-21 14:22:00.370,FEMALE,ISTANBUL,50,1,1604.3700000000001,29,1,2017-06-29 20:50:58.790,128,2,27,5,24,0,2126,7,1,3,4,0,0,4,0,2,0,3,0,0,5,0
500240373,2016-06-12 00:00:00.000,MALE,ADANA,34,0,348.57,8,0,2017-06-25 16:14:15.920,378,3,5,8,0,0,2130,0,0,0,0,0,0,1,1,0,0,2,0,0,1,3
500240450,2016-10-18 00:00:00.000,MALE,ADANA,23,1,160.2,2,1,2017-01-29 14:03:02.180,103,0,2,2,0,0,2277,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
500240604,2017-05-01 12:05:21.450,MALE,ISTANBUL,40,0,167.1,2,0,2017-06-08 09:12:36.400,37,1,1,1,0,1,2147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
500240615,2017-01-24 00:00:00.000,FEMALE,ISTANBUL,34,1,829.275,20,0,2017-05-14 13:09:34.030,110,0,20,20,0,0,2172,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
